patrick	LalaDglu_c, LalaLglu_c	6.3.5.4	R00256, R00578	cid123935	[[[["LalaDglu_c", 1], ["nh4_c", 1]], [["cid123935", 1], ["h2o_c", 1]]], [[["LalaLglu_c", 1], ["nh4_c", 1]], [["cid123935", 1], ["h2o_c", 1]]], [[["LalaDglu_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid123935", 1], ["h2o_c", 1]]], [[["LalaLglu_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid123935", 1], ["h2o_c", 1]]]]
patrick	S2hglut_c	2.6.1.85	R01716	cid10103306	[[[["4adcho_c", 1], ["S2hglut_c", 1]], [["chor_c", 1], ["cid10103306", 1]]]]
patrick	S2hglut_c	4.3.2.10	R00256, R04558	cid10103306	[[[["S2hglut_c", 1], ["nh4_c", 1]], [["cid10103306", 1], ["h2o_c", 1]]], [[["S2hglut_c", 1], ["aicar_c", 1], ["eig3p_c", 1]], [["cid10103306", 1], ["prlp_c", 1]]]]
patrick	S2hglut_c	6.3.5.4	R00256, R00578	cid10103306	[[[["S2hglut_c", 1], ["nh4_c", 1]], [["cid10103306", 1], ["h2o_c", 1]]], [[["S2hglut_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid10103306", 1], ["h2o_c", 1]]]]
patrick	aicar_c	4.3.2.10	R04558	prlp_c	[[[["aicar_c", 1], ["eig3p_c", 1], ["glu__D_c", 1]], [["gln__L_c", 1], ["prlp_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["glu__L_c", 1]], [["gln__L_c", 1], ["prlp_c", 1]]]]
patrick	ala_B_c	2.6.1.85	R01716	C19779	[[[["4adcho_c", 1], ["ala_B_c", 1]], [["C19779", 1], ["chor_c", 1]]]]
patrick	ala_B_c	4.3.2.10	R00256, R04558	C19779	[[[["ala_B_c", 1], ["nh4_c", 1]], [["C19779", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["ala_B_c", 1], ["eig3p_c", 1]], [["C19779", 1], ["prlp_c", 1]]]]
patrick	ala_B_c	6.3.5.4	R00256, R00578	C19779	[[[["ala_B_c", 1], ["nh4_c", 1]], [["C19779", 1], ["h2o_c", 1]]], [[["ala_B_c", 1], ["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["C19779", 1], ["asp__L_c", 1], ["atp_c", 1], ["h2o_c", 1]]]]
patrick	ala__L_c, ala__D_c	2.6.1.66	R01215	pyr_c	[[[["3mob_c", 1], ["ala__L_c", 1]], [["pyr_c", 1], ["val__L_c", 1]]], [[["3mob_c", 1], ["ala__D_c", 1]], [["pyr_c", 1], ["val__L_c", 1]]]]
patrick	asn__L_c	6.3.5.4	R00483, R00578	asp__L_c	[[[["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["nh4_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["glu__D_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["glu__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]]]]
patrick	asp__L_c	6.3.5.4	R00483, R00578	asn__L_c	[[[["asp__L_c", 1], ["atp_c", 1], ["nh4_c", 1]], [["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1]]], [[["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["asn__L_c", 1], ["glu__D_c", 1], ["ppi_c", 1]]], [[["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["asn__L_c", 1], ["glu__L_c", 1], ["ppi_c", 1]]]]
patrick	btn_c	2.6.1.85	R01716	C01893	[[[["4adcho_c", 1], ["btn_c", 1]], [["C01893", 1], ["chor_c", 1]]]]
patrick	btn_c	4.3.2.10	R00256, R04558	C01893	[[[["btn_c", 1], ["nh4_c", 1]], [["C01893", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["btn_c", 1], ["eig3p_c", 1]], [["C01893", 1], ["prlp_c", 1]]]]
patrick	btn_c	6.3.5.4	R00256, R00578	C01893	[[[["btn_c", 1], ["nh4_c", 1]], [["C01893", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["btn_c", 1], ["ppi_c", 1]], [["C01893", 1], ["asp__L_c", 1], ["atp_c", 1], ["h2o_c", 1]]]]
patrick	btnso_c	2.6.1.85	R01716	cid121344798	[[[["4adcho_c", 1], ["btnso_c", 1]], [["chor_c", 1], ["cid121344798", 1]]]]
patrick	btnso_c	4.3.2.10	R00256, R04558	cid121344798	[[[["btnso_c", 1], ["nh4_c", 1]], [["cid121344798", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["btnso_c", 1], ["eig3p_c", 1]], [["cid121344798", 1], ["prlp_c", 1]]]]
patrick	btnso_c	6.3.5.4	R00256, R00578	cid121344798	[[[["btnso_c", 1], ["nh4_c", 1]], [["cid121344798", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["btnso_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid121344798", 1], ["h2o_c", 1]]]]
patrick	cbasp_c	6.3.5.4	R00483, R00578	cid129717774	[[[["atp_c", 1], ["cbasp_c", 1], ["nh4_c", 1]], [["amp_c", 1], ["cid129717774", 1], ["ppi_c", 1]]], [[["atp_c", 1], ["cbasp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["cid129717774", 1], ["glu__D_c", 1], ["ppi_c", 1]]], [[["atp_c", 1], ["cbasp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["cid129717774", 1], ["glu__L_c", 1], ["ppi_c", 1]]]]
patrick	chor_c	2.6.1.85	R01716	4adcho_c	[[[["chor_c", 1], ["gln__L_c", 1]], [["4adcho_c", 1], ["glu__D_c", 1]]], [[["chor_c", 1], ["gln__L_c", 1]], [["4adcho_c", 1], ["glu__L_c", 1]]]]
patrick	crn_c, crn__D_c	6.3.5.4	R00483, R00578	C02290	[[[["atp_c", 271], ["crn_c", 280], ["nh4_c", 310]], [["C02290", 260], ["amp_c", 285], ["ppi_c", 264]]], [[["atp_c", 271], ["crn__D_c", 280], ["nh4_c", 310]], [["C02290", 260], ["amp_c", 285], ["ppi_c", 264]]], [[["atp_c", 4], ["crn_c", 12], ["gln__L_c", 18], ["h2o_c", 1]], [["C02290", 12], ["amp_c", 6], ["glu__D_c", 14], ["ppi_c", 3]]], [[["atp_c", 4], ["crn_c", 12], ["gln__L_c", 18], ["h2o_c", 1]], [["C02290", 12], ["amp_c", 6], ["glu__L_c", 14], ["ppi_c", 3]]], [[["atp_c", 4], ["crn__D_c", 12], ["gln__L_c", 18], ["h2o_c", 1]], [["C02290", 12], ["amp_c", 6], ["glu__D_c", 14], ["ppi_c", 3]]], [[["atp_c", 4], ["crn__D_c", 12], ["gln__L_c", 18], ["h2o_c", 1]], [["C02290", 12], ["amp_c", 6], ["glu__L_c", 14], ["ppi_c", 3]]]]
patrick	dhpppn_c	2.6.1.85	R01716	cid129937071	[[[["4adcho_c", 1], ["dhpppn_c", 1]], [["chor_c", 1], ["cid129937071", 1]]]]
patrick	dhpppn_c	4.3.2.10	R00256, R04558	cid129937071	[[[["dhpppn_c", 1], ["nh4_c", 1]], [["cid129937071", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["dhpppn_c", 1], ["eig3p_c", 1]], [["cid129937071", 1], ["prlp_c", 1]]]]
patrick	dhpppn_c	6.3.5.4	R00256, R00578	cid129937071	[[[["dhpppn_c", 1], ["nh4_c", 1]], [["cid129937071", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["dhpppn_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid129937071", 1], ["h2o_c", 1]]]]
patrick	dtbt_c	2.6.1.85	R01716	cid141373573	[[[["4adcho_c", 1], ["dtbt_c", 1]], [["chor_c", 1], ["cid141373573", 1]]]]
patrick	dtbt_c	4.3.2.10	R00256, R04558	cid141373573	[[[["dtbt_c", 1], ["nh4_c", 1]], [["cid141373573", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["dtbt_c", 1], ["eig3p_c", 1]], [["cid141373573", 1], ["prlp_c", 1]]]]
patrick	dtbt_c	6.3.5.4	R00256, R00578	cid141373573	[[[["dtbt_c", 1], ["nh4_c", 1]], [["cid141373573", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["dtbt_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid141373573", 1], ["h2o_c", 1]]]]
patrick	ghb_c	2.6.1.85	R01716	cid13562	[[[["4adcho_c", 1], ["ghb_c", 1]], [["chor_c", 1], ["cid13562", 1]]]]
patrick	ghb_c	4.3.2.10	R00256, R04558	cid13562	[[[["ghb_c", 1], ["nh4_c", 1]], [["cid13562", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["ghb_c", 1]], [["cid13562", 1], ["prlp_c", 1]]]]
patrick	ghb_c	6.3.5.4	R00256, R00578	cid13562	[[[["ghb_c", 1], ["nh4_c", 1]], [["cid13562", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["ghb_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid13562", 1], ["h2o_c", 1]]]]
patrick	gln__L_c	2.6.1.85	R01716	glu__D_c, glu__L_c	[[[["chor_c", 1], ["gln__L_c", 1]], [["4adcho_c", 1], ["glu__D_c", 1]]], [[["chor_c", 1], ["gln__L_c", 1]], [["4adcho_c", 1], ["glu__L_c", 1]]]]
patrick	gln__L_c	4.3.2.10	R00256, R04558	glu__D_c, glu__L_c	[[[["gln__L_c", 1], ["h2o_c", 1]], [["glu__D_c", 1], ["nh4_c", 1]]], [[["gln__L_c", 1], ["h2o_c", 1]], [["glu__L_c", 1], ["nh4_c", 1]]], [[["gln__L_c", 1], ["prlp_c", 1]], [["aicar_c", 1], ["eig3p_c", 1], ["glu__D_c", 1]]], [[["gln__L_c", 1], ["prlp_c", 1]], [["aicar_c", 1], ["eig3p_c", 1], ["glu__L_c", 1]]]]
patrick	gln__L_c	6.3.5.4	R00256, R00578	glu__D_c, glu__L_c	[[[["gln__L_c", 1], ["h2o_c", 1]], [["glu__D_c", 1], ["nh4_c", 1]]], [[["gln__L_c", 1], ["h2o_c", 1]], [["glu__L_c", 1], ["nh4_c", 1]]], [[["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["asn__L_c", 1], ["glu__D_c", 1], ["ppi_c", 1]]], [[["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]], [["amp_c", 1], ["asn__L_c", 1], ["glu__L_c", 1], ["ppi_c", 1]]]]
patrick	glu1sa_c	2.6.1.85	R01716	cid130415610	[[[["4adcho_c", 1], ["glu1sa_c", 1]], [["chor_c", 1], ["cid130415610", 1]]]]
patrick	glu1sa_c	4.3.2.10	R00256, R04558	cid130415610	[[[["glu1sa_c", 1], ["nh4_c", 1]], [["cid130415610", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["glu1sa_c", 1]], [["cid130415610", 1], ["prlp_c", 1]]]]
patrick	glu1sa_c	6.3.5.4	R00256, R00578	cid130415610	[[[["glu1sa_c", 1], ["nh4_c", 1]], [["cid130415610", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["glu1sa_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid130415610", 1], ["h2o_c", 1]]]]
patrick	glu__D_c, glu__L_c	2.6.1.85	R01716	gln__L_c	[[[["4adcho_c", 1], ["glu__D_c", 1]], [["chor_c", 1], ["gln__L_c", 1]]], [[["4adcho_c", 1], ["glu__L_c", 1]], [["chor_c", 1], ["gln__L_c", 1]]]]
patrick	glu__D_c, glu__L_c	4.3.2.10	R00256, R04558	gln__L_c	[[[["glu__D_c", 1], ["nh4_c", 1]], [["gln__L_c", 1], ["h2o_c", 1]]], [[["glu__L_c", 1], ["nh4_c", 1]], [["gln__L_c", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["glu__D_c", 1]], [["gln__L_c", 1], ["prlp_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["glu__L_c", 1]], [["gln__L_c", 1], ["prlp_c", 1]]]]
patrick	glu__D_c, glu__L_c	6.3.5.4	R00256, R00578	gln__L_c	[[[["glu__D_c", 1], ["nh4_c", 1]], [["gln__L_c", 1], ["h2o_c", 1]]], [[["glu__L_c", 1], ["nh4_c", 1]], [["gln__L_c", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["glu__D_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["glu__L_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1]]]]
patrick	hdca_c	2.6.1.85	R01716	cid69421	[[[["4adcho_c", 1], ["hdca_c", 1]], [["chor_c", 1], ["cid69421", 1]]]]
